acl 2.3.2-2
archlinux-keyring 20260420-1
attr 2.5.2-2
audit 4.1.4-2
base 3-3
bash 5.3.9-1
binutils 2.46-1
brotli 1.2.0-1
btop 1.4.6-2
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.123-1
ca-certificates-utils 20240618-1
coreutils 9.11-1
cryptsetup 2.8.6-1
curl 8.19.0-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
device-mapper 2.03.39-1
diffutils 3.12-2
duktape 2.7.0-7
e2fsprogs 1.47.4-1
expat 2.7.5-1
file 5.47-3
filesystem 2025.10.12-1
findutils 4.10.0-3
gawk 5.4.0-1
gcc-libs 15.2.1+r604+g0b99615a8aef-1
gdbm 1.26-2
gettext 1.0-2
git 2.54.0-1
github-cli 2.91.0-3
glib2 2.88.0-1
glibc 2.43+r22+g8362e8ce10b2-1
gmp 6.3.0-3
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.12-2
gpgme 2.0.1-3
gpm 1.20.7.r38.ge82d1a6-6
grep 3.12-2
grub 2:2.14-1
gzip 1.14-2
hicolor-icon-theme 0.18-1
hwdata 0.406-1
iana-etc 20260409-1
icu 78.3-1
iftop 1.0pre4-6
intel-ucode 20260227-1
iotop 0.6-13
iproute2 7.0.0-1
iptables 1:1.8.13-1
iputils 20250605-1
jansson 2.15.0-1
json-c 0.18-2
kbd 2.9.0-1
keyutils 1.6.3-4
kmod 34.2-1
krb5 1.21.3-2
leancrypto 1.7.2-1
libarchive 3.8.7-1
libasan 15.2.1+r604+g0b99615a8aef-1
libassuan 3.0.0-1
libatomic 15.2.1+r604+g0b99615a8aef-1
libbpf 1.6.2-1
libcap 2.78-1
libcap-ng 0.9.3-1
libdaemon 0.14-6
libedit 20251016_3.1-1
libelf 0.194-2
libevent 2.1.12-5
libffi 3.5.2-1
libgcc 15.2.1+r604+g0b99615a8aef-1
libgcrypt 1.12.2-1
libgfortran 15.2.1+r604+g0b99615a8aef-1
libgomp 15.2.1+r604+g0b99615a8aef-1
libgpg-error 1.59-1
libidn2 2.3.8-1
libksba 1.6.8-1
libldap 2.6.13-1
liblsan 15.2.1+r604+g0b99615a8aef-1
libluv 1.52.1-1
libmakepkg-dropins 20-1
libmm-glib 1.24.2-1
libmnl 1.0.5-2
libndp 1.9-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnftnl 1.3.1-1
libnghttp2 1.69.0-1
libnghttp3 1.15.0-1
libngtcp2 1.22.1-1
libnl 3.12.0-1
libnm 1.56.0-1
libnsl 2.0.1-1
libobjc 15.2.1+r604+g0b99615a8aef-1
